company,company_name,year,world_rank,eu_rank,rnd_22,rnd_euro,rnd_org,profit_22,profit_euro,profit_org,netsales_22,netsales_euro,netsales_org,capex_22,capex_euro,capex_org,mcap_22,mcap_euro,mcap_org,emp,ex_rate_euro,currency,icb3_short,icb3_name,icb4_name,nace_rev2,country,iso2,region
SUSE,SUSE S.A.,2022,1462.0,240.0,106.485138,106.485138,113.5770481908,-0.467841,-0.467841,-0.4989992106,612.24759,612.24759,653.023279494,9.976565,9.976565,10.641004229,3323.073094,3323.073094,3544.3897620604,2398.0,1.0666,USD,ICT services,Software & Computer Services,Software,5829.0,Luxembourg,LU,EU
SUTRO BIOPHARMA,"SUTRO BIOPHARMA, INC.",2022,2199.0,,65.065657,65.065657,69.3990297562,-120.89167,-120.89167,-128.943055222,63.540248,63.540248,67.7720285168,7.367338,7.367338,7.8580027108,276.79911,276.79911,295.233930726,278.0,1.0666,USD,Health industries,Pharmaceuticals & Biotechnology,Biotechnology,7211.0,US,US,US
SUZHOU DONGSHAN PRECISION MANUFACTURING COPANY,SUZHOU DONGSHAN PRECISION MANUFACTURING COMPANY LIMITED,2022,1396.0,,113.916441,113.916441,838.2199561662,487.543429,487.543429,3587.4420592678,4206.691148,4206.691148,30953.6748052136,452.947287,452.947287,3332.8767272034,4825.021689,4825.021689,35503.4745919998,21021.0,7.3582,CNY,ICT producers,Technology Hardware & Equipment,Telecommunications Equipment,2611.0,China,CN,China
SUZHOU GOLD MANTIS CONSTRUCTION DECORATION,"SUZHOU GOLD MANTIS CONSTRUCTION DECORATION CO., LTD.",2022,1578.0,,97.200054,97.200054,715.2174373428,236.958173,236.958173,1743.5856285686,2910.390483,2910.390483,21415.2352520106,10.232357,10.232357,75.2917292774,1775.871626,1775.871626,13067.2185984332,12305.0,7.3582,CNY,Construction & Materials,Construction & Materials,Heavy Construction,4391.0,China,CN,China
SUZHOU HYC TECHNOLOGY,"SUZHOU HYC TECHNOLOGY CO.,LTD",2022,2480.0,,54.392247,54.392247,400.2290318754,46.45735,46.45735,341.84247277,309.042046,309.042046,2273.9931828772,49.307604,49.307604,362.8152117528,1645.205893,1645.205893,12105.7540018726,2402.0,7.3582,CNY,ICT producers,Electronic & Electrical Equipment,Electronic Equipment,2651.0,China,CN,China
SUZHOU KEDA TECHNOLOGY,"SUZHOU KEDA TECHNOLOGY CO.,LTD",2022,1734.0,,86.608398,86.608398,637.2819141636,-66.554342,-66.554342,-489.7201593044,204.054898,204.054898,1501.4767504636,10.240543,10.240543,75.3519635026,355.493296,355.493296,2615.7907706272,4546.0,7.3582,CNY,ICT producers,Technology Hardware & Equipment,Telecommunications Equipment,2630.0,China,CN,China
SUZHOU MAXWELL TECHNOLOGIES,"SUZHOU MAXWELL TECHNOLOGIES CO., LTD.",2022,2269.0,,62.197917,62.197917,457.6647128694,95.594111,95.594111,703.4005875602,553.532766,553.532766,4073.0047987812,93.018709,93.018709,684.4502645638,7425.554245,7425.554245,54638.713245559,6147.0,7.3582,CNY,Industrials,Industrial Engineering,Industrial Machinery,2899.0,China,CN,China
SUZHOU ZELGEN,"SUZHOU ZELGEN BIOPHARMACEUTICALS CO.,LTD.",2022,2287.0,,61.508884,61.508884,452.5946702488,-67.615772,-67.615772,-497.5303735304,40.301884,40.301884,296.5493228488,11.89382,11.89382,87.517106324,572.21903,572.21903,4210.502066546,843.0,7.3582,CNY,Health industries,Pharmaceuticals & Biotechnology,Pharmaceuticals,2120.0,China,CN,China
SUZUKI MOTOR,SUZUKI MOTOR CORPORATION,2022,157.0,,1453.460293,1453.460293,204443.72481338,2459.620481,2459.620481,345970.21685746,32806.747885,32806.747885,4614597.1575041,1825.501232,1825.501232,256775.00329312,16936.876193,16936.876193,2382341.00530738,70012.0,140.66,JPY,Automobiles & Parts,Automobiles & Parts,Automobiles & Parts,2910.0,Japan,JP,Japan
SVEA,SVEA S.À R.L.,2022,8558.0,848.0,6.201,6.201,6.201,-19.106,-19.106,-19.106,96.12,96.12,96.12,,,,,,,489.0,1.0,EUR,Financial,Real Estate Investment & Services,Real Estate Investment & Services,6420.0,Luxembourg,LU,EU
SVENSKA HANDELSBANKEN,SVENSKA HANDELSBANKEN AB,2022,2232.0,329.0,63.838854,63.838854,710.0029664172,2725.199786,2725.199786,30309.1269799348,4877.917899,4877.917899,54251.2272890982,70.672309,70.672309,786.0032862362,15314.454608,15314.454608,170324.301259254,10954.0,11.1218,SEK,Financial,Banks,Banks,6419.0,Sweden,SE,EU
SWARCO,SWARCO AG,2022,3433.0,459.0,32.887,32.887,32.887,69.626,69.626,69.626,1132.065,1132.065,1132.065,,,,,,,5316.0,1.0,EUR,Financial,Real Estate Investment & Services,Real Estate Holding & Development,6420.0,Austria,AT,EU
SWATCH,THE SWATCH GROUP LTD.,2022,728.0,,251.84363,251.84363,247.990422461,1175.947275,1175.947275,1157.9552816925,7615.223331,7615.223331,7498.7104140357,344.253995,344.253995,338.9869088765,7002.318076,7002.318076,6895.1826094372,32061.0,0.9847,CHF,Others,Personal Goods,Personal Goods,2652.0,Switzerland,CH,ROW
SWEDISH ELECTROMAGNET INVEST,SWEDISH ELECTROMAGNET INVEST AB (PUBL),2022,11089.0,990.0,3.370691,3.370691,37.4881511638,4.205991,4.205991,46.7781907038,33.572853,33.572853,373.3905564954,0.796547,0.796547,8.8590364246,,,,200.0,11.1218,SEK,Construction & Materials,Construction & Materials,Heavy Construction,7112.0,Sweden,SE,EU
SWEDISH ORPHAN BIOVITRUM,SWEDISH ORPHAN BIOVITRUM AB,2022,791.0,149.0,226.852719,226.852719,2523.0105701742,345.808782,345.808782,3846.0161116476,1689.481803,1689.481803,18790.0787166054,6.473799,6.473799,72.0002977182,6505.8246,6505.8246,72356.48003628,1556.0,11.1218,SEK,Health industries,Pharmaceuticals & Biotechnology,Biotechnology,2120.0,Sweden,SE,EU
SWEP,SWEP INTERNATIONAL AB,2022,8534.0,847.0,6.234538,6.234538,69.3392847284,18.223205,18.223205,202.674841369,164.592662,164.592662,1830.5666682316,,,,,,,387.0,11.1218,SEK,Industrials,Industrial Engineering,Industrial Machinery,2825.0,Sweden,SE,EU
SWISSCOM,SWISSCOM AG,2022,931.0,,186.851725,186.851725,183.9928936075,2103.097415,2103.097415,2070.9200245505,11284.21945,11284.21945,11111.570892415,2324.47609,2324.47609,2288.911605823,26628.548361,26628.548361,26221.1315710767,19157.0,0.9847,CHF,ICT services,Fixed Line Telecommunications,Fixed Line Telecommunications,6190.0,Switzerland,CH,ROW
SYMBOTIC,SYMBOTIC INC.,2022,1380.0,,116.389511,116.389511,124.1410524326,-131.609844,-131.609844,-140.3750596104,556.265005,556.265005,593.312254333,16.829184,16.829184,17.9500076544,634.09986,634.09986,676.330910676,1120.0,1.0666,USD,Industrials,Industrial Engineering,Industrial Machinery,5829.0,US,US,US
SYMRISE,SYMRISE AG,2022,753.0,141.0,243.636,243.636,243.636,630.103,630.103,630.103,4618.476,4618.476,4618.476,229.802,229.802,229.802,14731.974705,14731.974705,14731.974705,12043.0,1.0,EUR,Chemicals,Chemicals,Chemicals,2059.0,Germany,DE,EU
SYNACT PHARMA,SYNACT PHARMA AB,2022,8492.0,845.0,6.299995,6.299995,70.067284391,-9.492478,-9.492478,-105.5734418204,0.0,0.0,0.0,,,,160.706825,160.706825,1787.349166285,4.0,11.1218,SEK,Health industries,Pharmaceuticals & Biotechnology,Pharmaceuticals,2120.0,Sweden,SE,EU
SYNAPTICS,SYNAPTICS INCORPORATED,2022,577.0,,329.27072,329.27072,351.200149952,146.821739,146.821739,156.6000668174,1270.4862,1270.4862,1355.10058092,32.064517,32.064517,34.2000138322,4334.973343,4334.973343,4623.6825676438,1891.0,1.0666,USD,ICT producers,Technology Hardware & Equipment,Computer Hardware,6201.0,US,US,US
SYNCHRONOSS TECHNOLOGIES,"SYNCHRONOSS TECHNOLOGIES, INC.",2022,2549.0,,52.147031,52.147031,55.6200232646,3.025502,3.025502,3.2270004332,236.853655,236.853655,252.628108423,1.320083,1.320083,1.4080005278,134.116057,134.116057,143.0481863962,1391.0,1.0666,USD,ICT services,Software & Computer Services,Computer Services,6201.0,US,US,US
SYNDAX PHARMA,"SYNDAX PHARMACEUTICALS, INC.",2022,1420.0,,111.099803,111.099803,118.4990498798,-142.281141,-142.281141,-151.7570649906,0.0,0.0,0.0,0.0,0.0,0.0,1252.1134,1252.1134,1335.50415244,107.0,1.0666,USD,Health industries,Pharmaceuticals & Biotechnology,Biotechnology,2120.0,US,US,US
